11/13/2024                                                                                                                                                                                                                          Dynamic List Display                                                                                                                                                                                                                                 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Extend Shelf life,Number Extend,Revision,Shipment Date,Shipment,Ship No.,X-Out,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,      QI.Qty.,   Unres.Qty., Reserve Qty.,Available Qty.,    Block Qty.,         Total,Remark,AUn,Conversion1,Manufacturer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,CG0002-STM,CG0002,STM,"CEL-9740ZHF10-G, GRANULE",CEL-9740ZHF10-G,,120,RP61,11885709,,0,,03/31/2024,F240327024/01 (10KG),310324F240327024/01 (10KG),,TW118403,03/18/2024,10/4/2024,4/1/2024,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,147.5,147.5,,KG,1 KG = 1 KG,-
,CG0002-STM,CG0002,STM,"CEL-9740ZHF10-G, GRANULE",CEL-9740ZHF10-G,,120,DC49,12274550,,0,-,10/1/2024,F240926010/01 (10KG),011024F240926010/01 (10KG),,TW113409,09/13/2024,3/12/2025,10/2/2024,10227,Resonac Materials (Thailand) Co. Lt,0,127.5,0,127.5,0,127.5,,KG,1 KG = 1 KG,-
,CG0002-STM,CG0002,STM,"CEL-9740ZHF10-G, GRANULE",CEL-9740ZHF10-G,,120,DC43,12291480,,0,,10/10/2024,F241004018/01(10KG),101024F241004018/01(10KG),,TW113409,09/13/2024,3/12/2025,10/10/2024,10227,Resonac Materials (Thailand) Co. Lt,0,130,0,130,0,130,,KG,1 KG = 1 KG,
,CG0002-STM,CG0002,STM,"CEL-9740ZHF10-G, GRANULE",CEL-9740ZHF10-G,,120,DC50,12291481,,0,,10/10/2024,F241004018/02(10KG),101024F241004018/02(10KG),,TW127409,09/27/2024,03/26/2025,10/10/2024,10227,Resonac Materials (Thailand) Co. Lt,0,370,0,370,0,370,,KG,1 KG = 1 KG,
,CZ0134-ONS,CZ0134,ONS,"G770HCD, 14MMX5.8G",14 x 5.8 ( QFN / DFN ),,120,DC45,12291824,,0,,10/10/2024,SBS0241106005/01,101024SBS0241106005/01,,4092746,09/28/2024,03/27/2025,10/10/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,14.5,0,14.5,0,14.5,,KG,1 KG = 1 KG,
,CZ0135-UTL,CZ0135,UTL,"G770HCD, 14MMX5.3G",14 x 5.3 ( TQFN/ TDFN ),,120,RP60,10273372,,0,,06/13/2022,SBS0221102765/01 (15KG),130622SBS0221102765/01 (15KG),,2052530,5/5/2022,11/1/2022,06/13/2022,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,0,0,0,120,120,,KG,1 KG = 1 KG,
,CZ0135-UTL,CZ0135,UTL,"G770HCD, 14MMX5.3G",14 x 5.3 ( TQFN/ TDFN ),,120,DC48,12211890,,0,,9/4/2024,SBS0241104733/02(15KG),040924SBS0241104733/02(15KG),,4082638,08/16/2024,02/15/2025,9/4/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,435,0,435,0,435,,KG,1 KG = 1 KG,
,CZ0136-ONS,CZ0136,ONS,"G770HCD, 14MMX4.5G",14 x 4.5 ( UQFN / UDFN ),,120,DC43,12211940,,0,,9/4/2024,SBS0241104732/01(15KG),040924SBS0241104732/01(15KG),,4082638,08/16/2024,02/15/2025,9/4/2024,10067,"SUMITOMO BAKELITE (THAILAND) CO.,LT",0,51,0,51,0,51,,KG,1 KG = 1 KG,
,CZ0138-TIU,CZ0138,TIU,"CEL-8240HF10G(53C)LSF,14MMX4.5G",14 mm. x 4.5g. CEL-8240HF10G-LSF,,120,DC45,12201163,,0,,08/28/2024,RMM/408P100/01,280824RMM/408P100/01,,482020,8/6/2024,2/5/2025,08/29/2024,10227,Resonac Materials (Thailand) Co. Lt,0,66,0,66,0,66,,KG,1 KG = 1 KG,
,CZ0138-UTL,CZ0138,UTL,"CEL-8240HF10G(53C)LSF,14MMX4.5G",14 mm. x 4.5g. CEL-8240HF10G-LSF,,120,RP60,10694500,,0,,11/9/2022,SDMM/211P43/09 (15KG),091122SDMM/211P43/09 (15KG),,2O2072,10/5/2022,4/4/2023,11/10/2022,10145,HITACHI CHEMICAL ASIA (THAILAND) CO,0,0,0,0,41,41,,KG,1 KG = 1 KG,-
,CZ0138-UTL,CZ0138,UTL,"CEL-8240HF10G(53C)LSF,14MMX4.5G",14 mm. x 4.5g. CEL-8240HF10G-LSF,,120,RP60,11863295,,0,,03/22/2024,RMM/403P84/01(15KG),220324RMM/403P84/01(15KG),,422313,02/29/2024,08/31/2024,03/23/2024,10227,Resonac Materials (Thailand) Co. Lt,0,0,0,0,5.5,5.5,,KG,1 KG = 1 KG,
