12/11/2024                                                                                                                                                                               Dynamic List Display                                                                                                                                                                                       1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
UTL Direct Material Stock Report,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Material,Material,Customer,Material description,Size,Unit/Strip,Plant,SLOC,Batch,Revision,Shipment Date,Shipment,Ship No.,Vendor Batch,Manu.Date,Shlf.Date,GR.Date,Vendor,Vendor Name,QI.Qty.,Unres.Qty.,Reserve Qty.,Available Qty.,Block Qty., Total,Remark,Manufacturer
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,PZ0001-MCR,PZ0001,MCR,ABLE BOND (5 CC/10CC ) 84-1 LMISR4,84-1 LMISR4,,130,DC04,12200885,,08/28/2024,196708814/01 5CC,280824196708814/01 5CC,1B4FAC6191,06/18/2024,06/18/2025,08/29/2024,20012,HENKEL KOREA LTD.,0,10,0,10,0,10,,
,PZ0001-PII,PZ0001,PII,ABLE BOND (5 CC/10CC ) 84-1 LMISR4,84-1 LMISR4,,130,RP22,11320863,,02/16/2022,92405156/14 (30CC),16022292405156/14 (30CC),O72AAC2950,01/20/2022,01/20/2023,02/17/2022,20012,HENKEL KOREA LTD.,0,0,0,0,50,50,PII-925,-
,PZ0001-UTL,PZ0001,UTL,ABLE BOND (5 CC/10CC ) 84-1 LMISR4,84-1 LMISR4,,120,DR04,12054524,,06/21/2024,196668651/02 (30C),210624196668651/02 (30C),1B4FAA6190,06/18/2024,06/18/2025,06/22/2024,20012,HENKEL KOREA LTD.,0,8,0,8,0,8,,
,PZ0001-UTL,PZ0001,UTL,ABLE BOND (5 CC/10CC ) 84-1 LMISR4,84-1 LMISR4,,130,DC01,12281964,,10/04/2024,196735175/02 (30C),041024196735175/02 (30C),1B4JAA5616,09/20/2024,09/20/2025,10/05/2024,20012,HENKEL KOREA LTD.,0,79,0,79,0,79,,
,PZ0001-UTL,PZ0001,UTL,ABLE BOND (5 CC/10CC ) 84-1 LMISR4,84-1 LMISR4,,130,IQ01,12409577,,12/10/2024,196775977/01 (30CC),101224196775977/01 (30CC),1B4JAB5616,09/20/2024,09/20/2025,12/10/2024,20012,HENKEL KOREA LTD.,23,0,0,23,0,23,,
,PZ0001-UTL,PZ0001,UTL,ABLE BOND (5 CC/10CC ) 84-1 LMISR4,84-1 LMISR4,,130,IQ01,12409582,,12/10/2024,196775977/02 (30CC),101224196775977/02 (30CC),1B4LAA5418,11/29/2024,11/29/2025,12/10/2024,20012,HENKEL KOREA LTD.,127,0,0,127,0,127,,
,PZ0009-MXM,PZ0009,MXM,"ABLE BOND, SOT 3/4/5/6( 5CC) 84-3J",84-3J,,130,DC04,12197429,,08/27/2024,1118278591/01,2708241118278591/01,044GAG9163,07/08/2024,07/08/2025,08/27/2024,20067,HENKEL CORPORATION,0,26,0,26,0,26,,-
,PZ0009-UTL,PZ0009,UTL,"ABLE BOND, SOT 3/4/5/6( 5CC) 84-3J",84-3J,,130,RP22,9578641,,10/04/2021,1111490527/01 5CC,0410211111490527/01 5CC,041HAO2233,08/17/2021,08/17/2022,10/05/2021,20067,HENKEL CORPORATION,0,0,0,0,99,99,,-
,PZ0013-UTL,PZ0013,UTL,ABLE BOND 2200D( 5 CC ),2200D,,120,DR04,12142959,,07/31/2024,196692467/01 5CC,310724196692467/01 5CC,1B4GAA8644,07/23/2024,07/23/2025,08/01/2024,20012,HENKEL KOREA LTD.,0,224,0,224,0,224,,-
,PZ0013-UTL,PZ0013,UTL,ABLE BOND 2200D( 5 CC ),2200D,,130,DC04,12281987,,10/04/2024,196735175/06 (5CC),041024196735175/06 (5CC),1B4JAA8244,09/13/2024,09/13/2025,10/05/2024,20012,HENKEL KOREA LTD.,0,206,0,206,0,206,,
,PZ0013-UTL,PZ0013,UTL,ABLE BOND 2200D( 5 CC ),2200D,,130,DC02,12356784,,11/13/2024,196759330/01 (5CC),131124196759330/01 (5CC),1B4JAB8244,09/13/2024,09/13/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,158,0,158,0,158,,
,PZ0013-UTL,PZ0013,UTL,ABLE BOND 2200D( 5 CC ),2200D,,130,DC02,12356787,,11/13/2024,196759330/02 (5CC),131124196759330/02 (5CC),1B4KAA4607,10/30/2024,10/30/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,642,0,642,0,642,,
,PZ0017-TIU,PZ0017,TIU,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,120,DC65,12143191,,08/01/2024,INM124080001/01,010824INM124080001/01,PSA647459,07/18/2024,01/18/2025,08/01/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,202,0,202,0,202,,-
,PZ0017-TIU,PZ0017,TIU,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,120,DC65,12209386,-,09/04/2024,INM124090013/01,040924INM124090013/01,PSA647707,08/22/2024,02/22/2025,09/04/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,330,0,330,0,330,,
,PZ0017-TIU,PZ0017,TIU,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,120,DC64,12249418,-,09/20/2024,INM124090081/01,200924INM124090081/01,PSA647838,09/09/2024,03/09/2025,09/20/2024,10076,FUSION ADVANTEC COMPANY LIMITED,0,150,0,150,0,150,,-
,PZ0017-UTL,PZ0017,UTL,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,130,RP05,9096090,,08/26/2020,APO000067698/02,260820APO000067698/02,PSA632830,08/20/2020,02/16/2021,08/26/2020,20040,INDIUM CORPORATION OF AMERICA,0,0,0,0,11,11,,
,PZ0017-UTL,PZ0017,UTL,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,130,RP05,8927824,,01/14/2021,APO000069372/02,140121APO000069372/02,PSA634519,01/07/2021,07/07/2021,01/14/2021,20040,INDIUM CORPORATION OF AMERICA,0,0,0,0,15,15,,
,PZ0017-UTL,PZ0017,UTL,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,130,RP05,9717117,,11/22/2021,INM121110081/03,221121INM121110081/03,PSA638136,11/11/2021,05/10/2022,11/22/2021,10076,FUSION ADVANTEC COMPANY LIMITED,0,0,0,0,30,30,,
,PZ0017-UTL,PZ0017,UTL,SOLDER PASTE (50G),NC-SMQ80 PB75IN25 TYPE 4,,130,RP05,9717115,,11/22/2021,INM121110081/01,221121INM121110081/01,PSA638155,11/10/2021,05/11/2022,11/22/2021,10076,FUSION ADVANTEC COMPANY LIMITED,0,0,0,0,76,76,,
,PZ0022-UTL,PZ0022,UTL,2025D Non-conductive dispense,2025D,,140,DA02,12144648,,08/03/2024,196695217/01,030824196695217/01,1B4GAD2415,07/24/2024,07/24/2025,08/04/2024,20012,HENKEL KOREA LTD.,0,17,0,17,0,17,,-
,PZ0022-UTL,PZ0022,UTL,2025D Non-conductive dispense,2025D,,120,DR06,12229210,,09/10/2024,196719100/03 (5CC),100924196719100/03 (5CC),1B4JAC5914,09/03/2024,09/03/2025,09/11/2024,20012,HENKEL KOREA LTD.,0,177,0,177,0,177,,-
,PZ0022-UTL,PZ0022,UTL,2025D Non-conductive dispense,2025D,,140,DA03,12301595,,10/15/2024,196741235/02 (5CC),151024196741235/02 (5CC),1B4JAE5334,09/23/2024,09/23/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,160,0,160,0,160,,-
,PZ0029-ADI,PZ0029,ADI,ABLEBOND RP-751-31 (8200C),8200C (751-3C),,130,RP22,9881906,,03/15/2021,98863103/07 (5CC),15032198863103/07 (5CC),1B1CAC4046PCN,03/03/2021,03/03/2022,03/16/2021,20012,HENKEL KOREA LTD.,0,0,0,0,1,1,,-
,PZ0029-ADI,PZ0029,ADI,ABLEBOND RP-751-31 (8200C),8200C (751-3C),,120,RP99,9881978,,05/05/2021,98917214/02 (5CC),05052198917214/02 (5CC),1B1CAD4046PCN,03/03/2021,03/03/2022,05/05/2021,20012,HENKEL KOREA LTD.,0,0,0,0,15,15,,-
,PZ0029-ADI,PZ0029,ADI,ABLEBOND RP-751-31 (8200C),8200C (751-3C),,120,RP99,9923748,,02/09/2022,92397293/02 (5CC),09022292397293/02 (5CC),O72AAD3628,01/05/2022,01/05/2023,02/09/2022,20012,HENKEL KOREA LTD.,0,0,0,0,81,81,,-
,PZ0029-ADI,PZ0029,ADI,ABLEBOND RP-751-31 (8200C),8200C (751-3C),,120,DR03,12231166,-,09/11/2024,196719251/04 (5CC),110924196719251/04 (5CC),1B4HAC7795,08/22/2024,08/22/2025,09/12/2024,20012,HENKEL KOREA LTD.,0,20,0,20,0,20,,-
,PZ0029-ADI,PZ0029,ADI,ABLEBOND RP-751-31 (8200C),8200C (751-3C),,130,DC04,12301643,,10/16/2024,196741100/01 (5CC),161024196741100/01 (5CC),1B4JAC9255,09/19/2024,09/19/2025,10/16/2024,20012,HENKEL KOREA LTD.,0,46,0,46,0,46,,
,PZ0029-UTL,PZ0029,UTL,ABLEBOND RP-751-31 (8200C),8200C (751-3C),,120,RP99,9907599,,01/26/2022,92380509/01 (5CC),26012292380509/01 (5CC),1B1CAF4047PCN,03/03/2021,08/30/2021,01/31/2022,20012,HENKEL KOREA LTD.,0,0,0,0,5,5,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,120,DR04,12277910,,10/03/2024,196735178/01 (30C),031024196735178/01 (30C),1B4JAC8252,09/23/2024,09/23/2025,10/04/2024,20012,HENKEL KOREA LTD.,0,193,0,193,0,193,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC02,12278484,,10/03/2024,196735174/01 (30CC),031024196735174/01 (30CC),1B4JAA8250,09/23/2024,09/23/2025,10/04/2024,20012,HENKEL KOREA LTD.,0,53,0,53,0,53,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,140,DA03,12314929,,10/22/2024,196745710/01,221024196745710/01,1B4KAA5107,10/07/2024,10/07/2025,10/23/2024,20012,HENKEL KOREA LTD.,0,182,0,182,0,182,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,120,DR04,12314944,,10/22/2024,196745710/02,221024196745710/02,1B4KAA5108,10/07/2024,10/07/2025,10/23/2024,20012,HENKEL KOREA LTD.,0,182,0,182,0,182,,-
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC01,12356789,,11/13/2024,196759330/03 (30C),131124196759330/03 (30C),1B4KAC5108,10/07/2024,10/07/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,31,0,31,0,31,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC01,12356735,,11/13/2024,196759330/04 (30C),131124196759330/04 (30C),1B4KAA8267,10/25/2024,10/25/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,364,0,364,0,364,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC01,12356743,,11/13/2024,196759330/05 (30C),131124196759330/05 (30C),1B4KAA8268,10/25/2024,10/25/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,305,0,305,0,305,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC01,12356791,,11/13/2024,196759330/06 (30C),131124196759330/06 (30C),1B4KAB8268,10/25/2024,10/25/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,57,0,57,0,57,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC01,12356793,,11/13/2024,196759330/08 (30C),131124196759330/08 (30C),1B4KAA8270,10/30/2024,10/30/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,333,0,333,0,333,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC01,12356794,,11/13/2024,196759330/07 (30C),131124196759330/07 (30C),1B4KAA8269,10/30/2024,10/30/2025,11/13/2024,20012,HENKEL KOREA LTD.,0,359,0,359,0,359,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC04,12398459,,12/06/2024,196772013/01 (30CC),061224196772013/01 (30CC),1B4KAB8270,10/30/2024,10/30/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,27,0,27,0,27,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC02,12398472,,12/06/2024,196772013/02 (30CC),061224196772013/02 (30CC),1B4LAA8272,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,164,0,164,0,164,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,130,DC04,12398481,,12/06/2024,196772013/03 (30CC),061224196772013/03 (30CC),1B4LAA8271,12/06/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,358,0,358,0,358,,
,PZ0031-UTL,PZ0031,UTL,ABLEBOND RP-751-3D (8200T),8200T,,120,DR09,12398624,,12/06/2024,196772014/10,061224196772014/10,1B4LAB8278,11/14/2024,11/14/2025,12/06/2024,20012,HENKEL KOREA LTD.,0,116,0,116,0,116,,-
